"doctor_key","slot_date","slot_time","status","updated_at"
"cardio_1","2026-03-09","10:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","10:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","10:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","10:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","11:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","11:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","11:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","11:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","12:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","12:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","12:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","12:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","13:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","13:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","13:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","13:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","17:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","17:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","17:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","17:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","18:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","18:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","18:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","18:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","19:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","19:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","19:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","19:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","20:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","20:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","20:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-09","20:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-10","10:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","10:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","10:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","10:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","11:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","11:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","11:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","11:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","12:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","12:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","12:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","12:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","13:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","13:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","13:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","13:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","17:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","17:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","17:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","17:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","18:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","18:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","18:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","18:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","19:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","19:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","19:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","19:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","20:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","20:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","20:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-10","20:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-16","10:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","10:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","10:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","10:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","11:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","11:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","11:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","11:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","12:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","12:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","12:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","12:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","13:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","13:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","13:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","13:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","17:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","17:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","17:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","17:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","18:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","18:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","18:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","18:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","19:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","19:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","19:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","19:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","20:00","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","20:15","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","20:30","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-16","20:45","OPEN","2026-03-05T03:03:53.092999+00:00"
"cardio_1","2026-03-17","10:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","10:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","10:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","10:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","11:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","11:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","11:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","11:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","12:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","12:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","12:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","12:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","13:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","13:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","13:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","13:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","17:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","17:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","17:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","17:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","18:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","18:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","18:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","18:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","19:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","19:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","19:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","19:45","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","20:00","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","20:15","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","20:30","OPEN","2026-03-05T03:18:09.239684+00:00"
"cardio_1","2026-03-17","20:45","OPEN","2026-03-05T03:18:09.239684+00:00"
